round,loss,accuracy
0,1.0852645492553712,0.27
1,0.8940310001373291,0.63
2,0.8513721251487731,0.73
3,0.7081438446044922,0.73
4,0.6671394073963165,0.77
5,0.6299923264980316,0.83
6,0.5535939037799835,0.79
7,0.5607628643512725,0.79
8,0.5399709069728851,0.77
9,0.5148551201820374,0.8
10,0.48769248962402345,0.81
0,1.0940579080581665,0.41
1,0.8640346169471741,0.65
2,0.7535757350921631,0.72
3,0.6523995792865753,0.75
4,0.5604392576217652,0.77
5,0.546353235244751,0.76
6,0.46627852201461795,0.82
7,0.4623065495491028,0.83
8,0.4448100090026855,0.84
9,0.4122885632514954,0.86
10,0.42377644538879394,0.81
0,1.0957732200622559,0.28
1,0.898586208820343,0.67
2,0.9119944405555725,0.76
3,0.5738579654693603,0.78
4,0.5139055323600769,0.81
5,0.44653124690055845,0.83
6,0.43869083404541015,0.81
7,0.4376046681404114,0.81
8,0.3788846743106842,0.83
9,0.39524625658988954,0.84
10,0.42769344091415407,0.84
0,1.0957732200622559,0.28
1,0.8816449999809265,0.59
2,0.7310259032249451,0.78
3,0.6739429903030395,0.78
4,0.5447170925140381,0.77
5,0.48363849878311155,0.8
6,0.4736855387687683,0.8
7,0.4177289080619812,0.84
8,0.4472561573982239,0.83
9,0.42221649646759035,0.85
10,0.3831180596351624,0.85
0,1.118704252243042,0.27
1,0.9041326999664306,0.57
2,0.7302761602401734,0.72
3,0.7520708131790161,0.66
4,0.5755261373519898,0.77
5,0.5247341358661651,0.78
6,0.49858300924301147,0.79
7,0.4922241926193237,0.76
8,0.4742346715927124,0.79
9,0.42436091184616087,0.82
10,0.4347399735450745,0.83
0,1.0957732200622559,0.28
1,0.9177585673332215,0.71
2,0.6756202578544617,0.77
3,0.6210762429237365,0.72
4,0.531495189666748,0.79
5,0.572682592868805,0.78
6,0.49449203491210936,0.83
7,0.41817082405090333,0.8
8,0.4324159848690033,0.83
9,0.42579097747802735,0.84
10,0.4248947477340698,0.84
0,1.118704252243042,0.27
1,0.8033002042770385,0.65
2,0.8425571250915528,0.64
3,0.6393253803253174,0.74
4,0.6639848303794861,0.75
5,0.6024191164970398,0.76
6,0.5468047165870666,0.74
7,0.524976658821106,0.81
8,0.4946213889122009,0.79
9,0.4874176442623138,0.8
10,0.4771349620819092,0.77
