round,global_accuracy
0,0.2608695652173913
1,0.47157190635451507
2,0.5050167224080268
3,0.5050167224080268
4,0.5351170568561873
5,0.5785953177257525
6,0.5618729096989966
7,0.5785953177257525
8,0.6120401337792643
9,0.5719063545150501
10,0.6220735785953178
0,0.29431438127090304
1,0.47157190635451507
2,0.49498327759197325
3,0.4882943143812709
4,0.4983277591973244
5,0.5150501672240803
6,0.5484949832775919
7,0.6086956521739131
8,0.6220735785953178
9,0.6220735785953178
10,0.6555183946488294
0,0.21070234113712374
1,0.47157190635451507
2,0.47157190635451507
3,0.47491638795986624
4,0.5518394648829431
5,0.5117056856187291
6,0.6020066889632107
7,0.6153846153846154
8,0.6053511705685619
9,0.6722408026755853
10,0.6755852842809364
0,0.29431438127090304
1,0.47157190635451507
2,0.4916387959866221
3,0.4983277591973244
4,0.5351170568561873
5,0.6086956521739131
6,0.6354515050167224
7,0.6120401337792643
8,0.5953177257525084
9,0.6488294314381271
10,0.7090301003344481
